Flagpole,6408,80
BrickBlock,480,288
MysteryCube,512,288,1
BrickBlock,544,288
MysteryCube,896,288,0
MysteryCube,896,160,0
BrickBlock,928,160
BrickBlock,960,160
BrickBlock,992,160
MysteryCube,1696,160,0
MysteryCube,1728,160,0
MysteryCube,1760,160,0
MysteryCube,1792,160,0
MysteryCube,1824,160,0
MysteryCube,1696,288,3
MysteryCube,1728,288,0
MysteryCube,1760,288,0
MysteryCube,1792,288,0
MysteryCube,1824,288,0
BrickBlock,2176,288
BrickBlock,2208,160
BrickBlock,2240,160
BrickBlock,2272,160
BrickBlock,2304,160
MysteryCube,2528,288,0
MysteryCube,2560,288,0
MysteryCube,2592,288,0
MysteryCube,2624,288,0
MysteryCube,2720,288,0
MysteryCube,2752,288,0
MysteryCube,2784,288,0
BrickBlock,2592,160
BrickBlock,2624,160
BrickBlock,2208,160
BeanStalkCube,2656,160,level_2-1-skies
BrickBlock,2688,160
BrickBlock,2720,160
BrickBlock,2944,160
BrickBlock,2976,160
BrickBlock,3008,160
BrickBlock,3040,160
MysteryCube,4000,160,3
BrickBlock,4032,160
BrickBlock,4064,160
BrickBlock,4096,160
BrickBlock,5152,288
BrickBlock,5248,160
BrickBlock,5280,160
BrickBlock,5312,160
BrickBlock,5344,160
BrickBlock,5376,160
BrickBlock,5504,160
MysteryCube,5440,288,0
MysteryCube,5920,288,0
BrickBlock,5952,288
MysteryCube,5952,160,0
TriggerTube,3326,280,0,level_2-1-underground,16,0
PipeUp,3296,288,0,64,128
TriggerEnterCastle,6636,390,level_1-1
KoopaTroopa,4822,384
Goomba,1050,384
Goomba,1010,384
Goomba,1824,256
Goomba,1760,384
Goomba,1968,384
Goomba,2304,128
Goomba,2812,384
Goomba,3800,384
Goomba,4832,384
Goomba,5050,384
Goomba,6015,384
KoopaTroopa,5150,384
Goomba,5250,384
Goomba,5376,128
KoopaTroopa,2700,384
KoopaTroopa,1824,256
