InvisibleWall,128,416
TriggerWarp,1986,480,level_2-1,4928,-96,512,32
TriggerWarp,2496,0,level_2-1,4928,-96,32,480
Coin,486,196
Coin,518,196
Coin,550,196
Coin,582,196
Coin,614,196
Coin,646,196
Coin,678,196
Coin,710,196
Coin,742,196
Coin,774,196
Coin,806,196
Coin,838,196
Coin,870,196
Coin,902,196
Coin,934,196
Coin,966,196
Coin,1030,132
Coin,1062,132
Coin,1094,132
Coin,1158,164
Coin,1190,164
Coin,1222,164
Coin,1254,164
Coin,1286,164
Coin,1318,164
Coin,1350,164
Coin,1382,164
Coin,1414,164
Coin,1446,164
Coin,1478,164
Coin,1510,164
Coin,1542,164
Coin,1574,164
Coin,1606,164
Coin,1638,164
Coin,1702,132
Coin,1734,132
Coin,1766,132
Coin,2214,388
Coin,2246,388
Coin,2278,388
Cloud,496,314
