0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,0,0,0,4,4,4,4,4,4,4,0,0,0,0,5
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,0,0,0,0,0,6,7,8,9,0,0,0,0,0,5
4,0,0,0,0,0,0,10,11,12,0,0,0,0,0,5
4,0,0,0,0,0,13,14,15,16,0,0,0,0,0,5
4,0,0,0,0,17,18,19,20,21,0,0,0,0,0,5
4,0,0,0,0,22,23,24,25,26,0,0,0,0,0,5
4,0,0,0,0,27,28,29,30,31,0,0,0,0,0,5
4,0,0,0,4,4,4,4,4,4,4,0,0,0,0,5
4,0,0,0,4,4,4,4,4,4,4,0,0,32,33,34
4,0,0,0,4,4,4,4,4,4,4,0,0,35,36,37
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
