0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,8,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,8,12,0,0,0,13,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,8,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,15,0,0,1,6,10,9,3,0,0,0,0,0,0,0,0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,19,19,20,21,16,16,16,16,16,16,22,23,16,16,24,23,16,16,16,16,16,16,16,16,16,25,19,19,20,21,16,16,26,16,16,16,16,16,16,16,16,16,16,22,23,16,16,16,16,16,16,16,16,16,16,16,17,27,27,21,16,16,28,29,30,31,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,23,16,16,16,16,16,16,16,16,16,22,33,16,16,16,16,16,16,16,16,16,16,16,16,16,16,22,33,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,19,19,20,21,16,16,16,16,16,16,22,23,16,16,24,23,16,16,16,28,29,30,31,32,16,34,19,19,20,21,16,16,26,16,16,16,16,16
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,37,37,38,35,35,35,35,35,35,39,40,41,42,43,6,9,42,43,44,42,35,35,35,35,35,35,45,37,46,35,35,39,47,48,35,35,35,35,35,35,35,35,39,6,9,42,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,49,50,30,30,51,52,53,35,35,35,35,35,35,35,35,35,35,35,35,39,54,6,9,55,35,35,43,44,48,35,35,39,19,56,35,35,35,35,35,35,35,35,35,35,35,35,43,44,19,9,48,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,37,37,38,35,35,35,35,35,35,39,40,41,42,43,6,57,57,43,58,59,30,30,60,61,53,35,45,37,46,35,35,39,47,48,35,35,35,35
62,62,62,62,62,62,63,64,65,62,63,65,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,66,19,19,9,67,19,19,68,6,10,9,65,62,62,62,62,62,62,62,62,62,62,69,19,9,70,62,62,62,62,62,62,63,6,7,8,9,65,62,63,64,70,62,62,62,62,62,62,62,62,62,71,72,30,30,73,74,75,76,77,62,62,62,62,62,62,62,62,62,62,63,6,19,7,8,78,79,63,6,19,9,70,63,80,19,9,70,62,62,62,62,62,62,62,62,62,62,81,6,19,19,19,9,70,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,64,65,62,63,65,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,66,19,19,9,67,57,57,57,82,83,30,30,73,74,75,76,77,62,62,62,62,62,69,19,9,70,62,62,62
84,84,84,84,84,85,6,10,9,86,6,9,87,88,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,89,18,19,19,9,19,19,6,19,19,19,90,84,84,84,84,84,84,91,92,93,94,6,19,19,90,84,84,84,84,84,84,89,18,19,19,19,9,86,6,10,9,95,84,84,84,84,84,84,94,96,97,30,30,30,98,30,30,99,100,101,84,84,84,84,84,84,84,84,84,102,19,19,19,19,19,9,6,19,10,19,9,6,6,19,19,68,95,84,84,84,84,84,84,84,84,94,6,19,19,10,19,20,103,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,6,10,9,86,104,105,106,88,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,89,18,19,19,57,57,57,57,107,30,30,30,98,30,30,108,100,101,84,84,84,94,6,19,19,90,84,84,84
109,109,109,109,109,110,18,19,20,111,19,19,19,9,112,109,113,114,114,115,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,113,6,19,19,19,19,19,19,19,19,20,116,109,109,109,109,109,117,118,73,119,120,19,19,20,116,109,109,109,109,109,109,113,121,19,19,19,20,111,19,19,19,122,109,109,109,109,109,113,82,83,123,124,30,30,30,125,126,127,128,129,130,109,109,109,109,109,109,109,113,6,19,19,19,19,19,131,19,19,132,19,19,19,19,68,133,6,9,115,109,109,109,109,109,109,109,110,18,19,19,19,19,9,112,134,115,109,109,109,109,109,109,109,109,109,109,109,109,110,18,19,20,135,136,73,137,138,112,109,113,114,114,115,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,113,6,19,57,57,57,57,57,123,124,30,30,30,125,126,139,140,141,142,143,114,144,145,146,147,116,109,109,109
148,148,148,148,149,150,6,19,19,19,19,19,19,19,9,151,152,7,8,9,153,154,155,148,148,148,148,148,148,148,148,148,148,148,148,156,19,19,19,19,19,19,19,20,157,158,159,160,148,148,148,161,162,30,98,163,164,165,166,167,168,155,148,148,148,148,149,6,6,19,19,19,19,19,19,19,169,170,171,148,148,148,148,172,107,30,173,174,30,30,30,175,176,30,177,178,179,180,148,148,148,148,148,149,6,19,19,19,19,181,182,183,19,19,19,19,19,19,184,6,19,7,8,9,185,186,154,155,148,148,148,148,156,68,6,19,19,19,57,6,187,57,151,185,148,148,148,148,148,148,148,148,57,57,6,19,57,107,30,98,163,164,138,151,104,188,189,9,185,148,148,148,148,148,148,148,148,148,148,148,148,148,148,156,19,57,57,57,57,57,57,173,174,30,30,30,175,176,30,75,190,191,192,133,193,194,195,196,197,148,148,148
